time_point,aqi,pm2_5,pm10,so2,no2,co,o3,rank,quality
2021-12-01,38,10,29,3,30,0.4,49,4,优
2021-12-02,37,11,37,2,22,0.4,65,76,优
2021-12-03,45,13,45,2,32,0.4,52,23,优
2021-12-04,58,23,57,3,46,0.7,33,120,良
2021-12-05,79,58,92,4,63,1.0,15,123,良
2021-12-06,43,18,43,2,27,0.4,63,278,优
2021-12-07,49,16,42,2,39,0.5,37,39,优
2021-12-08,68,42,69,3,54,0.7,12,98,良
2021-12-09,123,93,64,2,59,1.0,5,256,轻度污染
2021-12-10,78,57,58,2,40,0.7,33,222,良
2021-12-11,41,20,41,3,23,0.5,62,162,优
2021-12-12,28,5,17,2,13,0.2,56,64,优
2021-12-13,57,24,49,2,45,0.6,27,76,良
2021-12-14,69,48,75,3,55,0.8,21,154,良
2021-12-15,87,64,96,3,58,1.2,13,190,良
2021-12-16,51,20,51,2,18,0.4,63,263,良
2021-12-17,29,8,23,3,14,0.3,57,35,优
2021-12-18,45,17,45,3,33,0.4,57,70,优
2021-12-19,70,34,84,3,56,0.7,26,91,良
2021-12-20,76,37,101,3,53,0.8,41,231,良
2021-12-21,59,27,67,3,37,0.6,38,178,良
2021-12-22,54,34,57,3,37,0.7,32,52,良
2021-12-23,63,45,73,4,44,0.9,14,124,良
2021-12-24,29,6,19,3,10,0.3,58,134,优
2021-12-25,29,5,14,2,8,0.3,58,3,优
2021-12-26,28,10,28,2,21,0.3,49,9,优
2021-12-27,57,23,52,3,45,0.6,32,184,良
2021-12-28,65,35,62,4,52,0.9,22,141,良
2021-12-29,42,11,42,2,20,0.3,65,143,优
2021-12-30,36,11,36,3,21,0.3,67,119,优
2021-12-31,62,21,47,4,49,0.7,30,39,良
